GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,244,0,29,0,46,0,20,0,4
parking-system,com.parkit.parkingsystem.service,ParkingService,0,416,2,15,0,109,2,16,0,9
parking-system,com.parkit.parkingsystem.service,InteractiveShell,3,59,1,5,1,25,1,7,0,4
parking-system,com.parkit.parkingsystem,App,3,35,0,0,1,9,1,2,1,2
parking-system,com.parkit.parkingsystem.model,ParkingSpot,4,58,2,6,0,19,2,11,0,9
parking-system,com.parkit.parkingsystem.model,Ticket,0,74,1,1,0,28,1,14,0,14
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,34,0,0,0,4,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,5,54,2,2,1,17,2,4,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,32,216,2,4,9,54,2,7,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,13,93,2,2,4,25,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,0,66,0,6,0,27,0,9,0,6
